date,category,name,ticker,units,nav_at_purchase,current_nav
08-09-2025,Mutual Fund,HDFC Largecap Fund,0P0000XW91.BO,169.91,1235.9,1265.17
06-10-2025,Mutual Fund,HDFC Largecap Fund,0P0000XW91.BO,81.56,1226,1265.17
01-03-2024,Mutual Fund,Kotak Midcap Fund,0P0000XV5R.BO,122.8,113.9,161.481
04-09-2024,Mutual Fund,Kotak Midcap Fund,0P0000XV5R.BO,262.11,122.07,161.481
30-10-2024,Mutual Fund,Kotak Midcap Fund,0P0000XV5R.BO,652.65,150.14,161.481
21-01-2025,Mutual Fund,Kotak Midcap Fund,0P0000XV5R.BO,140.55,142.79,161.481
07-02-2025,Mutual Fund,Kotak Midcap Fund,0P0000XV5R.BO,35.19,142.06,161.481
09-09-2025,Mutual Fund,Kotak Midcap Fund,0P0000XV5R.BO,635.27,157.4,161.481
06-10-2025,Mutual Fund,Kotak Midcap Fund,0P0000XV5R.BO,341.07,161.24,161.481
08-09-2025,Mutual Fund,Parag Parekh Flexicap Fund,0P0000YWL1.BO,1080.69,92.52,94.5532
06-10-2025,Mutual Fund,Parag Parekh Flexicap Fund,0P0000YWL1.BO,3924.23,93,94.5532
08-09-2025,Mutual Fund,ICICI Largecap Fund,0P0000XWAT.BO,826.68,120.96,125.19
06-10-2025,Mutual Fund,ICICI Largecap Fund,0P0000XWAT.BO,1715.04,122.37,125.19
22-09-2025,Mutual Fund,PGIM Global Fund,0P0000XW3I.BO,2834,54.7,52.92
22-09-2025,Mutual Fund,Axis China EQ Fund,0P0001LKLZ.BO,14946.21,10.37,10.22
27-10-2025,Foreign_Stock,Autodesk,ADSK,80,27533.44,27619.41945
23-10-2023,Foreign_Stock,GOOGLE,GOOGL,1,9680,23464.39875
23-10-2023,Foreign_Stock,TESLA,TSLA,1,9680,40093.74433
23-10-2023,Foreign_Stock,META,META,1,9680,66106.73221
23-10-2023,Foreign_Stock,ZOOM,ZM,1,7040,7614.150417
23-10-2023,Foreign_Stock,ADMA,ADMA,4,352,1346.19142
27-10-2025,FixedDeposit,ICICI FD,ICICI FD,1000000,1,1
27-10-2025,FixedDeposit,IDFC FD,IDFC FD,1000000,1,1
